"community","year","no2"
"NORTH LAWNDALE",2015,16.7808685302734
"NORTH LAWNDALE",2016,16.6321849822998
"NORTH LAWNDALE",2017,16.3069801330566
"NORTH LAWNDALE",2018,16.7679710388184
"NORTH LAWNDALE",2019,13.8356924057007
"NORTH LAWNDALE",2020,15.7869968414307
"NORTH LAWNDALE",2021,13.8319664001465
"NORTH LAWNDALE",2022,13.6647024154663
"NORTH PARK",2011,20.1994800567627
"NORTH PARK",2012,18.9236812591553
"NORTH PARK",2013,17.5412139892578
"NORTH PARK",2014,17.0435943603516
"NORTH PARK",2015,16.5991706848145
"NORTH PARK",2016,16.387228012085
"NORTH PARK",2017,16.1677875518799
"NORTH PARK",2018,16.5571823120117
"NORTH PARK",2019,12.1401138305664
"NORTH PARK",2020,14.509090423584
"NORTH PARK",2021,11.7627658843994
